relation_type	category	count
cast_member	contributor	12955
director	contributor	1897
screenwriter	contributor	1822
producer	contributor	1708
distributor	organization	1479
composer	contributor	1165
main_subject	subject	956
music_artist	contributor	894
record_label	organization	797
production_company	organization	695
author	contributor	314
adapted_from	source	250
voice_actor	contributor	178
creator	contributor	122
publisher	organization	119
depicts	subject	52
influenced_by	influence	38
inspired_by	influence	37
lyricist	contributor	33
platform	platform	24
broadcaster	organization	21
performer	contributor	18
illustrator	contributor	17
developer	contributor	7
influenced	influence	3
editor	contributor	2
painter	contributor	1
actor	contributor	0
associated	legacy	0
based_on	source	0
character	subject	0
designer	contributor	0
executive_producer	contributor	0
film_studio	organization	0
photographer	contributor	0
sculptor	contributor	0
writer	contributor	0
